nan,nan,nan,nan,nan,nan,nan,nan,9.904482339883459474e+01,8.954182422844185396e+01,7.949325568605900116e+01,6.912107088611770678e+01,5.844805148925081539e+01,4.857958221116244601e+01,3.900413895945757758e+01,2.964286805809184600e+01,2.112034618147927745e+01,1.305824575208013094e+01,4.860560082276478511e+00,6.906126589820101025e-02,1.175319151629435977e-03,2.753772504590041456e-05,1.192092966562091635e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,5.699814023959832478e-03,1.058412411781770679e+01,2.943330381794592654e+01,5.044652564110366910e+01,7.330444336354224788e+01,9.815496592402858766e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,9.736003604915870824e+01,8.940927118010493757e+01,8.122811890289001724e+01,7.257204444846645686e+01,6.339068994236688326e+01,5.410580061596224510e+01,4.490688325134676262e+01,3.633991629902428855e+01,2.776155093187001199e+01,1.961218452741919549e+01,1.224959347396305986e+01,4.913491059990137799e+00,1.367294024223899562e-01,4.523227224113458692e-04,1.990814952087409913e-05,2.384186075232764303e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,4.660003261491337499e-03,9.636311034872212744e+00,2.688164523930685235e+01,4.581751253776458555e+01,6.644140620977407252e+01,8.920589446425633184e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.025857827228719117e+02,9.481724942194587413e+01,8.758770804990531644e+01,8.033744833966726162e+01,7.281083682117369449e+01,6.533874509581139023e+01,5.735672763491278658e+01,4.936724479266402454e+01,4.113677222544530565e+01,3.321256641738411730e+01,2.568056870667060920e+01,1.818571856686152088e+01,1.161138662591077697e+01,4.890688243477008257e+00,2.119459546679093309e-01,5.602617642703050776e-04,1.645101727525046998e-05,3.576279326012052150e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.192092966562091635e-07,6.178352345282291276e-03,8.807682920164767282e+00,2.421884539525472135e+01,4.102817152130459277e+01,5.993873588672857977e+01,8.098078926961561308e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,1.011994883617520173e+02,9.295302180213813870e+01,8.555132586252302929e+01,7.871800335940764626e+01,7.213911972169992737e+01,6.525680706373651674e+01,5.831930982458882085e+01,5.130221212809513531e+01,4.415667738471482551e+01,3.720118712690139517e+01,3.013854594200691395e+01,2.327139666347470381e+01,1.669544411059503730e+01,1.072060311243227737e+01,4.828861573929130735e+00,3.038923364711169084e-01,1.197816781845191655e-03,2.288844553222098125e-05,7.152559931001943464e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.384186075232764303e-07,1.013160858402378274e-02,7.726416162374146523e+00,2.154009632444069666e+01,3.671138763422428042e+01,5.400394819999058171e+01,7.365504462850771006e+01,9.657819879388404161e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,1.025857827228719117e+02,9.263947517315284585e+01,8.441525399734634050e+01,7.732230760650180912e+01,7.041487431279128373e+01,6.438348015476091746e+01,5.851339719157761721e+01,5.192252800647058564e+01,4.550346188922926416e+01,3.906688657800135900e+01,3.298713252008751340e+01,2.684127559149330366e+01,2.071799147383504192e+01,1.483410238937077175e+01,9.504958165214368648e+00,4.497398316198019330e+00,3.837762731788544324e-01,2.465543249580628895e-03,3.421365138136976084e-05,1.907350451804216369e-06,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,8.344653750216029254e-07,1.066884038608225879e-02,6.603232256107250286e+00,1.903778080832917396e+01,3.277161790576086986e+01,4.890314103588498540e+01,6.726930234734200553e+01,8.881265266493358013e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,9.555580981116551698e+01,8.572330652376166427e+01,7.729958512111645064e+01,6.985481403215995044e+01,6.314037058625038412e+01,5.693217806555361449e+01,5.191593303390000358e+01,4.648809723264061233e+01,4.047015737130561064e+01,3.450776142312925288e+01,2.893906995958791839e+01,2.346285248029845505e+01,1.822281099273412863e+01,1.297464415467524823e+01,8.182611552737206750e+00,3.882761437561927043e+00,3.889366132627973260e-01,3.991871781099529809e-03,6.807082109927031289e-05,5.006802695148507959e-06,2.384186075232764303e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,2.503398214065100533e-06,1.121877796702338767e-02,5.509697413515720399e+00,1.664454655744303224e+01,2.946234131386401245e+01,4.437867361084136775e+01,6.177557374162836368e+01,8.228381346912267702e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,9.857844953763942897e+01,8.846745717483166516e+01,7.927094959960319898e+01,7.112585998216145811e+01,6.372781360824270536e+01,5.683882159783254906e+01,5.064610843048478017e+01,4.551806121594731991e+01,4.093286635854661171e+01,3.589651552869929674e+01,3.069634736852049528e+01,2.542279976461277613e+01,2.026649467674550564e+01,1.563774394158897252e+01,1.104579382262665987e+01,6.761892464710115291e+00,2.953736970703885412e+00,2.878566895692244998e-01,5.423683922912649405e-03,1.393653703869684286e-04,1.394758414454092727e-05,1.549721964978620376e-06,1.192092966562091635e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,7.867844061755479627e-06,1.425006174482999592e-02,4.616160193318737726e+00,1.467656756635534165e+01,2.647927854837806194e+01,4.074367145454062467e+01,5.732970051909394016e+01,7.677083596964263279e+01,9.987773252176970118e+01,nan,nan,nan,nan,nan,nan,nan,nan
nan,1.032789299034318447e+02,9.170570928267787281e+01,8.223252651432974858e+01,7.332192035613026349e+01,6.545306288606471412e+01,5.825287547681716660e+01,5.141035297855179209e+01,4.533687698987157688e+01,3.990230356608161344e+01,3.547173523454551969e+01,3.131162398148623538e+01,2.698041554676134979e+01,2.214207741185685308e+01,1.760771712462057437e+01,1.334794919013834047e+01,9.104423454746893185e+00,5.237491676406498264e+00,1.837441275541109142e+00,1.539488192706171821e-01,5.097724382630252661e-03,2.358833976775358580e-04,3.039883087522667586e-05,5.126012588663674936e-06,3.576279326012052150e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.192092966562091635e-07,2.419977859108851992e-05,1.881206924796718916e-02,3.844079562233766900e+00,1.310818294495406455e+01,2.433812335154030393e+01,3.768674465432167153e+01,5.346734621837173762e+01,7.214096831325296932e+01,9.378967074467404075e+01,nan,nan,nan,nan,nan,nan,nan,nan
nan,9.861549080931978040e+01,8.689000331625605611e+01,7.672579708673031007e+01,6.813018482908785245e+01,6.020886520844809553e+01,5.311536910734562866e+01,4.661339673720522114e+01,4.039850049448597247e+01,3.518894017341935410e+01,3.076073047701437346e+01,2.695408067814497599e+01,2.325373882815506477e+01,1.920603935462996503e+01,1.517436379507326727e+01,1.122812828586766187e+01,7.378781486628122721e+00,3.772586591081542817e+00,1.030242766062908100e+00,7.674362941181528397e-02,4.177402459518322897e-03,3.383732055016769758e-04,5.781817687070390214e-05,1.311310782700857238e-05,2.026559975834562053e-06,1.192092966562091635e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,4.768372718899988264e-07,7.176656746806959488e-05,2.406857832634110711e-02,3.221718741953890408e+00,1.214099667473542787e+01,2.266147235247827041e+01,3.535688021537060877e+01,5.063921737302772641e+01,6.809303283518372041e+01,8.837257414266734656e+01,nan,nan,nan,nan,nan,nan,nan,nan
nan,9.470990356337559035e+01,8.290934372933216423e+01,7.253902501096673916e+01,6.347193200077879283e+01,5.576212817976912817e+01,4.883722001949195146e+01,4.245542521401289093e+01,3.646405792069134577e+01,3.108479079089837782e+01,2.685563601517042898e+01,2.335927572888525816e+01,2.011499394415419673e+01,1.672197996607362214e+01,1.311403174282759210e+01,9.404389757022869389e+00,5.840817161886149300e+00,2.619278957613144776e+00,5.548101508413586513e-01,4.854517140886664694e-02,3.879492839669875740e-03,4.965107227406730019e-04,1.211239733958996764e-04,3.337915815211994021e-05,8.106264545126783288e-06,9.536747711538899365e-07,1.192092966562091635e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,1.192092966562091635e-07,2.741817418445911629e-06,2.218134820008123493e-04,3.831883915642739918e-02,3.397998998160573603e+00,1.177186606313821748e+01,2.159971998899346701e+01,3.362998583785444850e+01,4.792558290356584649e+01,6.452468869300382437e+01,8.374935920080024232e+01,nan,nan,nan,nan,nan,nan,nan,nan
nan,9.187835600130830471e+01,7.993703468237990251e+01,6.909485785835185823e+01,5.992822509999316338e+01,5.183816430258824681e+01,4.483080796833049675e+01,3.866182757103665324e+01,3.300990269949846123e+01,2.773925513733778203e+01,2.359719433348839246e+01,2.040992637180496772e+01,1.750632881816024167e+01,1.460793110521278138e+01,1.156545724906371042e+01,8.231316701481349085e+00,4.832311923480624216e+00,1.862516358193162969e+00,3.061445222898645513e-01,3.436191647292044515e-02,4.151904913206873500e-03,7.814837533259470044e-04,2.882299917625190952e-04,1.031213522853134331e-04,3.266387879559475455e-05,7.152582952707335955e-06,1.430512497791890276e-06,2.384186075232764303e-07,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,4.768372718899988264e-07,1.215942145964517316e-05,6.296828621212791034e-04,8.572647645414577244e-02,4.066116789894365979e+00,1.163724829189155940e+01,2.082904059219553972e+01,3.219168467066446482e+01,4.544373325477470615e+01,6.119881826644382983e+01,7.910264587604925168e+01,9.949474026951358496e+01,nan,nan,nan,nan,nan,nan,nan
1.032789299034318447e+02,8.952111837600263300e+01,7.755258178836226080e+01,6.666453556024472960e+01,5.712805299392562830e+01,4.880863008052870811e+01,4.160961556593455413e+01,3.532999186996167396e+01,2.991502260113080425e+01,2.512112914464767499e+01,2.095945055331224438e+01,1.790145217784062481e+01,1.537476027788052768e+01,1.278374575575960570e+01,1.018454753556139636e+01,7.471551006050955124e+00,4.409196841774368991e+00,1.681198078655972594e+00,2.661162542174614898e-01,3.264580055741703180e-02,6.315882283226435454e-03,1.666085273524429543e-03,7.384761319333636026e-04,3.388502041498628369e-04,1.239853469982994650e-04,3.349837142794876495e-05,7.510213443281600614e-06,2.145769514075819627e-06,5.960466253896608114e-07,2.384186075232764303e-07,1.192092966562091635e-07,3.576279326012052150e-07,2.741817418445911629e-06,4.851935789217653452e-05,1.878176491933832275e-03,2.288930312941616918e-01,4.626868486921797086e+00,1.167279323981318839e+01,2.026209453686413653e+01,3.073758507205144852e+01,4.319282535247525345e+01,5.771304709349121254e+01,7.451818093804054399e+01,9.419755991275262375e+01,nan,nan,nan,nan,nan,nan,nan
1.010817053260956300e+02,8.762585447952027096e+01,7.550846861721123560e+01,6.482296757508061091e+01,5.519202045287114800e+01,4.663449995402440607e+01,3.919442915658105164e+01,3.288298129352787669e+01,2.739246305662045344e+01,2.274790661485655718e+01,1.909094945092570939e+01,1.625402605017989188e+01,1.396458050614707247e+01,1.164017427714590447e+01,9.156637312038478527e+00,6.722861200455834130e+00,4.174773260240860040e+00,1.751091590815865295e+00,3.481860120790414292e-01,4.823193475551533493e-02,1.205854938581568149e-02,4.086727521000688840e-03,2.009143786517982814e-03,1.030857040176924328e-03,4.067652090541906381e-04,1.227931070022956974e-04,3.337915815211994021e-05,1.144415728099313309e-05,3.695494804406731902e-06,1.549721964978620376e-06,1.072884181497058874e-06,2.264979066527992902e-06,1.442442806720686554e-05,2.119169649904669914e-04,7.488743767243013008e-03,5.001079952047265964e-01,4.999567256184112907e+00,1.152300493401540393e+01,1.953000836216904901e+01,2.931242562062309887e+01,4.109970092809482622e+01,5.493356320382370228e+01,7.092626953105775556e+01,8.955210849276336660e+01,nan,nan,nan,nan,nan,nan,nan
1.000208333654103683e+02,8.591089629914999648e+01,7.389277654625459490e+01,6.318225862063464859e+01,5.368087385412716372e+01,4.537731177144223693e+01,3.785718474380027487e+01,3.123885763564309670e+01,2.570700158819045100e+01,2.108702125224888491e+01,1.764606425604262796e+01,1.529058265982350484e+01,1.299716567008630541e+01,1.082958750599918929e+01,8.511422674257293153e+00,6.159103661930249274e+00,4.015605078619536528e+00,1.962816831279506902e+00,5.124577977232160908e-01,9.807097032354514243e-02,2.603311163817086452e-02,1.100397345096314206e-02,5.745313579867438077e-03,3.081475029910354328e-03,1.279636038736253582e-03,4.361030556476217868e-04,1.478304454248420834e-04,5.531464017806411661e-05,1.955051459639318111e-05,8.940736684575709966e-06,6.318112305420923465e-06,1.227863220582636226e-05,6.842847337673146598e-05,8.496077932701173990e-04,2.336087697752234002e-02,8.825314020268988369e-01,5.409873922885473085e+00,1.166414162973389779e+01,1.910373506077608496e+01,2.821928985055312111e+01,3.918120580626329286e+01,5.215794371866019929e+01,6.718048098878966812e+01,8.444322212597079158e+01,nan,nan,nan,nan,nan,nan,nan
9.923587863559730238e+01,8.491944130730834672e+01,7.233047487316753177e+01,6.168078619012169383e+01,5.223809436067694634e+01,4.402495959784749147e+01,3.687616862379608307e+01,3.034601094172806413e+01,2.462762720183625476e+01,1.985807181488153361e+01,1.661931933397976024e+01,1.449607760596965988e+01,1.241989640224551117e+01,1.028596320075425474e+01,8.083391555600673684e+00,5.963338275382072062e+00,3.928032339906147197e+00,2.148358032731567224e+00,7.700349845746629063e-01,2.034552645348815247e-01,6.573075225364784224e-02,2.837770262916186267e-02,1.563882665960376200e-02,8.501865162769493139e-03,4.196675684173612267e-03,1.549251304401604804e-03,6.168598737833130494e-04,2.470917772530046436e-04,9.549120006970076722e-05,4.732720786629481761e-05,3.576342636894355872e-05,6.318291946053194194e-05,2.705820866667710419e-04,2.642125360765771799e-03,5.854569556014797838e-02,1.325896515108492935e+00,5.846202625126327490e+00,1.164767577665496034e+01,1.864833644235547183e+01,2.706116674059974869e+01,3.716181186573486883e+01,4.920571132750045962e+01,6.337535094345409448e+01,7.965645594450141687e+01,9.824197730101822401e+01,nan,nan,nan,nan,nan,nan
9.825504938258556820e+01,8.394506077089971541e+01,7.142304233929561974e+01,6.057305149473981487e+01,5.114922338547810199e+01,4.295056531448721415e+01,3.578394444837956456e+01,2.933782791907425747e+01,2.355279485321214139e+01,1.866021615602804928e+01,1.552848053366365022e+01,1.357576258168286820e+01,1.167619761514355226e+01,9.803761955961087793e+00,7.823447840303908052e+00,5.826495201092002141e+00,3.953280828765238120e+00,2.353473170456938490e+00,1.046005286073358187e+00,3.897686206333721981e-01,1.579857052899372727e-01,7.573376720121546835e-02,4.255490825443897923e-02,2.250187154315614474e-02,1.120334714820596898e-02,5.194961852995294734e-03,2.424853112586380574e-03,1.004902614655047571e-03,4.724187773805168405e-04,2.505497069475739157e-04,1.816318466958513394e-04,2.676010523647225450e-04,9.514445872781309311e-04,7.867988319532431135e-03,1.255403485691656829e-01,1.692066484546929539e+00,5.976446614256968104e+00,1.150891738661649555e+01,1.804022796547022978e+01,2.586814120261155026e+01,3.542309189111118428e+01,4.659242250915974637e+01,5.961914827237210091e+01,7.484761046031209730e+01,9.202034200324682445e+01,nan,nan,nan,nan,nan,nan
9.693154069377584392e+01,8.264259338720540882e+01,7.027851864092734502e+01,5.947628790919330299e+01,5.022914130424396717e+01,4.186974719403356460e+01,3.458839867733330209e+01,2.809544085423899062e+01,2.233414563636782546e+01,1.760893980760897648e+01,1.463058946155698159e+01,1.268324393367593395e+01,1.093411552912429485e+01,9.219607371573294685e+00,7.452022030125247554e+00,5.672369667463407872e+00,3.939213309178207112e+00,2.470824066513007011e+00,1.362348824291929938e+00,7.202624206019934139e-01,3.308189508090761399e-01,1.748050965136598578e-01,1.050722296812284379e-01,5.634268892391464806e-02,2.790583150614328947e-02,1.571541790250122542e-02,8.198157489616525462e-03,3.783101158370848205e-03,1.877818191809944078e-03,1.015522964821218618e-03,7.891191415848805568e-04,1.060153534394051023e-03,3.227250257205347382e-03,2.149170843983053483e-02,2.216924715803300083e-01,1.995720901778335499e+00,6.032140791575020700e+00,1.101854441801457973e+01,1.714575390752711925e+01,2.461968235241135972e+01,3.337154004315883071e+01,4.370146185159436669e+01,5.569687657785129176e+01,6.980200193792799723e+01,8.606590266260749900e+01,nan,nan,nan,nan,nan,nan
